"plotno" "Treeno" "Species" "x" "y" "dbh" "d.end" "dratio" "baf1" "baf2" "AGR" "RGR" "AGR.g" "RGR.g" "year" "period" "xmax" "ymax"
"1" 41007000 2 41 1.59999999999999 0.899999999999991 18.75 19.4 0.378024193548387 0.0293887669431104 0.00392690192560388 0.216666666666666 0.0113597712176208 0.000649197031894938 0.0227195424352416 1937 3 55.45 45.05
"2" 41007000 20 41 4.8 8.59999999999999 30.85 32.15 0.464958553127355 0.0139491988270431 0.0031035136336937 0.433333333333332 0.0137585667774105 0.00214413698607503 0.027517133554821 1937 3 55.45 45.05
"3" 41007000 27 41 3.09999999999999 12.6 29 30.6 0.484544695071011 0.0375410266730799 0.00342036402104318 0.533333333333334 0.0179013929906204 0.00249651896205269 0.0358027859812407 1937 3 55.45 45.05
"4" 41007000 38 41 1 22.3 34.55 36 0.493219129193433 0.0148533343940915 0.00251776901913243 0.483333333333334 0.0137037960808103 0.00267814228733835 0.0274075921616208 1937 3 55.45 45.05
"5" 41007000 42 41 3.2 26.9 24.7 25.1 0.416877637130802 0.0454963958098745 0.00525334035572021 0.133333333333334 0.00535486750126897 0.000521504380495905 0.0107097350025378 1937 3 55.45 45.05
"6" 41007000 46 41 1.2 30.5 24.45 25.15 0.383830455259027 0.0864382795799831 0.00482796694645922 0.233333333333333 0.00940922687495564 0.000908967474438647 0.0188184537499114 1937 3 55.45 45.05
"7" 41007000 52 41 3 33.7 39.25 41.3 0.514416775884666 0.00968582716573703 0.00222674263743754 0.683333333333332 0.0169703519128565 0.0043230278408804 0.033940703825713 1937 3 55.45 45.05
"8" 41007000 63 41 6.3 24.4 27.05 27.35 0.439123376623377 0.0341563725703902 0.00512830362434201 0.1 0.00367650785849986 0.000427256600888215 0.00735301571699985 1937 3 55.45 45.05
"9" 41007000 70 41 7.90000000000001 17.8 35.5 37 0.506780870806567 0.0137032552697768 0.00329415996681233 0.5 0.0137950720542848 0.00284706834231575 0.0275901441085695 1937 3 55.45 45.05
"10" 41007000 77 41 9.7 12.5 34.2 36.05 0.490674318507891 0.025734862996308 0.00443921337566707 0.616666666666665 0.0175604065541328 0.0034024102936847 0.0351208131082658 1937 3 55.45 45.05
"11" 41007000 78 41 10.8 12.6 26.2 27.2 0.424635332252836 0.0351365234720642 0.00756043220277057 0.333333333333333 0.0124858541783001 0.00139800873084746 0.0249717083566003 1937 3 55.45 45.05
"12" 41007000 84 41 9.5 7.2 29.6 31.25 0.489660876757651 0.0309746322287232 0.00373538550221249 0.549999999999999 0.0180816716174654 0.0026285313033504 0.0361633432349304 1937 3 55.45 45.05
"13" 41007000 101 41 14 7.2 24.5 24.6 0.413851351351351 0.02687525888197 0.00552955769057243 0.0333333333333338 0.00135777512921183 0.000128543499409388 0.00271555025842399 1937 3 55.45 45.05
"14" 41007000 114 41 12.4 16.9 34.3 35.35 0.491404011461318 0.0335156720563897 0.00385639530175579 0.350000000000001 0.0100510127235626 0.00191460437282214 0.0201020254471252 1937 3 55.45 45.05
"15" 41007000 125 41 9.40000000000001 23.2 26.25 26.7 0.425101214574899 0.038058387771805 0.00580123388631215 0.15 0.00566585878952367 0.000623802491278425 0.0113317175790475 1937 3 55.45 45.05
"16" 41007000 128 41 12.4 25 22.5 23.2 0.377833753148615 0.0685635552580731 0.00769529768757856 0.233333333333333 0.0102123231539634 0.000837496241569475 0.0204246463079264 1937 3 55.45 45.05
"17" 41007000 134 41 12.3 29.5 37.05 38.7 0.505457025920873 0.013326677584916 0.00343727201035058 0.550000000000002 0.0145237494312134 0.00327216509825462 0.0290474988624268 1937 3 55.45 45.05
"18" 41007000 143 41 7.90000000000001 30.5 26.5 27.3 0.41699449252557 0.0535915381798525 0.0053219364586935 0.266666666666667 0.00991398973291258 0.00112678456508754 0.019827979465825 1937 3 55.45 45.05
"19" 41007000 155 41 0.599999999999994 41.6 21.7 22.6 0.356029532403609 0.0342993371005184 0.00392521576457619 0.300000000000001 0.0135458819106088 0.00104379415915521 0.0270917638212176 1937 3 55.45 45.05
"20" 41007000 165 41 7.09999999999999 44.2 20.05 21.65 0.338111298482293 0.0248531834736987 0.0060936838526888 0.533333333333333 0.0255921002319736 0.00174672551539592 0.051184200463947 1937 3 55.45 45.05
"21" 41007000 176 41 6.7 39.8 37.35 38.3 0.487597911227154 0.0187681215456976 0.00238257879560198 0.316666666666665 0.00837232820259123 0.00188148675026553 0.0167446564051826 1937 3 55.45 45.05
"22" 41007000 185 41 11 34.4 34.9 36.55 0.485059068797776 0.0304393393342251 0.00328801944480443 0.549999999999999 0.0153981189958019 0.00308641843261113 0.030796237991604 1937 3 55.45 45.05
"23" 41007000 194 41 15.7 29 23.55 24.35 0.388613861386139 0.0914296664537315 0.00744986772715486 0.266666666666667 0.0111353430220573 0.00100321525404634 0.0222706860441147 1937 3 55.45 45.05
"24" 41007000 202 41 17.7 23 36.25 37.4 0.494542974079127 0.0142196308440351 0.00357532746568505 0.383333333333333 0.0104104410399342 0.00221737536481185 0.0208208820798683 1937 3 55.45 45.05
"25" 41007000 215 41 19.4 15.4 22.85 23.25 0.397046046915725 0.0619427294661191 0.00856830640332957 0.133333333333333 0.00578467156438389 0.000482758071101634 0.0115693431287678 1937 3 55.45 45.05
"26" 41007000 219 41 20.7 13.3 32.6 33.55 0.484398216939079 0.0891480007577359 0.00527735300167814 0.316666666666665 0.00957485834834297 0.0016452128027768 0.0191497166966858 1937 3 55.45 45.05
