"Plot" "Treeno" "Species" "x" "y" "dbh" "d.end" "baf2" "AGR" "RGR" "AGR.g" "RGR.g" "year" "period" "xmax" "ymax"
"1" "BRO-A-I" 1 1 0.884875941991149 0.333796976991616 12.35 13 0.307579943254134 0.1625 0.0128233235968876 0.000323534955934537 0.0256466471937753 "2005" 4 25 40
"2" "BRO-A-I" 2 1 3.1944853709178 2.12633520135774 19.7 21.4 0.260331963397839 0.425 0.0206930715709658 0.00137189424191449 0.0413861431419316 "2005" 4 25 40
"3" "BRO-A-I" 3 1 4.0419024972008 4.00122432183435 21.7 23.1 0.318528946356576 0.35 0.0156300892453335 0.0012315043202072 0.0312601784906669 "2005" 4 25 40
"4" "BRO-A-I" 4 1 4.79649536975962 3.17033949426605 28.45 31.45 0.158577515498615 0.75 0.0250627056435274 0.00352840124906303 0.0501254112870547 "2005" 4 25 40
"5" "BRO-A-I" 5 1 5.96859066428579 1.90209242821403 19.7 19.95 0.282483911395001 0.0624999999999991 0.00315262689798235 0.000194631482366926 0.00630525379596469 "2005" 4 25 40
"6" "BRO-A-I" 6 1 8.65134209576349 0.01 20.85 NA 0.14681104009994 NA NA NA NA "2005" 4 25 40
"7" "BRO-A-I" 7 1 9.99156834349982 2.15322504765096 17.65 NA 0.277955496823362 NA NA NA NA "2005" 4 25 40
"8" "BRO-A-I" 8 1 12.7332010807423 3.933852727454 22.75 23.25 0.194475038400623 0.125 0.00543499665910152 0.000451603943953533 0.010869993318203 "2005" 4 25 40
"9" "BRO-A-I" 9 1 13.3564382023501 2.52534980227075 18 19.55 0.334970166948002 0.387499999999999 0.0206508821338025 0.0011428034151285 0.041301764267605 "2005" 4 25 40
"10" "BRO-A-I" 10 1 15.6468223817572 0.83150201964032 28.05 30.35 0.0832922467470528 0.575 0.0197019713842005 0.00263736703268863 0.039403942768401 "2005" 4 25 40
"11" "BRO-A-I" 11 1 17.844381897477 2.8237645964282 17.45 NA 0.297155646640299 NA NA NA NA "2005" 4 25 40
"12" "BRO-A-I" 12 1 19.5099075161195 0.224797606709908 20.5 NA 0.174513303139808 NA NA NA NA "2005" 4 25 40
"13" "BRO-A-I" 13 1 19.8994506086793 1.73612191970143 17.25 NA 0.336827415293881 NA NA NA NA "2005" 4 25 40
"14" "BRO-A-I" 14 1 20.9279191941964 3.65705850600626 25 NA 0.111566991606539 NA NA NA NA "2005" 4 25 40
"15" "BRO-A-I" 15 1 24.2044642575477 1.28334992072701 18.15 20.05 0.125433035263094 0.475 0.0248896482604296 0.00142510496748467 0.0497792965208591 "2005" 4 25 40
"16" "BRO-A-I" 16 1 22.5572191281251 6.87727631312738 16.6 NA 0.258521433746716 NA NA NA NA "2005" 4 25 40
"17" "BRO-A-I" 17 1 24.133720991429 10.4855538627344 19.2 NA 0.24052534508399 NA NA NA NA "2005" 4 25 40
"18" "BRO-A-I" 18 1 22.743144221768 10.0765401127465 22.9 25.05 0.167357286404621 0.537500000000001 0.0224342292426699 0.00202421650400129 0.0448684584853399 "2005" 4 25 40
"19" "BRO-A-I" 19 1 19.7118890833022 8.00678812626985 18.35 NA 0.240140056136819 NA NA NA NA "2005" 4 25 40
