"Plot" "Treeno" "Species" "x" "y" "dbh" "d.end" "dratio" "baf1" "baf2" "AGR" "RGR" "AGR.g" "RGR.g" "period" "year" "xmax" "ymax"
"1" 4000 7 1 9.8 3.3 17.8 19.1 0.477211796246649 0.304863284265084 0.153174220562507 0.65 0.0352449388772724 0.00188377749490878 0.0704898777545447 2 29 34 38
"2" 4000 8 1 4.5 4.3 19.5 21.8 0.515873015873016 0.205774827276361 0.141129845767936 1.15 0.0557477521126711 0.00373024857705618 0.111495504225342 2 29 34 38
"3" 4000 9 1 1.1 4.7 15.1 15.8 0.436416184971098 0.405676502246696 0.152601658096355 0.350000000000001 0.0226575981060212 0.000849408113714341 0.0453151962120425 2 29 34 38
"4" 4000 10 1 3.9 6.7 16.9 18.2 0.464285714285714 0.440451861045637 0.156247529071833 0.65 0.0370539860768609 0.00179188590979128 0.0741079721537219 2 29 34 38
"5" 4000 11 1 15.8 7.5 14 15.2 0.43343653250774 0.425418683158941 0.191246949385425 0.6 0.041119049118486 0.00137601758227233 0.082238098236972 2 29 34 38
"6" 4000 12 1 13.6 9.7 18.3 20.2 0.484126984126984 0.219268258573172 0.17011776248788 0.949999999999999 0.0493907722798919 0.00287259378262617 0.0987815445597838 2 29 34 38
"7" 4000 13 1 2.7 12.8 15.1 15.1 0.385204081632653 0.303545627503053 0.171904475361529 0 0 0 0 2 29 34 38
"8" 4000 14 1 14 13.2 14.8 15.9 0.447129909365559 0.392027367951246 0.195899497034339 0.55 0.0358459642280582 0.00132614479889659 0.0716919284561163 2 29 34 38
"9" 4000 15 1 12 13.4 11.6 11.8 0.387959866220736 0.417232706600587 0.221061861786716 0.100000000000001 0.00854721667965013 0.000183783170235005 0.0170944333593003 2 29 34 38
"10" 4000 16 1 10.2 14.8 16.6 18.4 0.475644699140401 0.288348816734113 0.184334516408475 0.899999999999999 0.0514739846262211 0.00247400421470196 0.102947969252442 2 29 34 38
"11" 4000 17 1 3.1 14.8 13.6 14.9 0.360742705570292 0.365425518079618 0.18710395182041 0.65 0.0456457101047036 0.00145495009769377 0.091291420209407 2 29 34 38
"12" 4000 18 1 8.6 15.6 19.5 20.8 0.447247706422018 0.305911943595937 0.168495831661551 0.65 0.0322692605687856 0.00205735048901962 0.0645385211375712 2 29 34 38
"13" 4000 19 1 4.9 15.8 15.9 16.3 0.3975 0.377995347391695 0.180744053000085 0.2 0.0124229992932654 0.000505796417227956 0.0248459985865308 2 29 34 38
"14" 4000 20 1 4.1 16.8 12.9 13.1 0.348648648648649 0.459226950794178 0.199680105052596 0.0999999999999996 0.00769245941973973 0.000204203522483338 0.0153849188394795 2 29 34 38
"15" 4000 21 1 14.8 17 20.4 20.5 0.390057361376673 0.353061361333278 0.170860019640639 0.0500000000000007 0.00244499264709589 0.000160613924414778 0.00488998529419182 2 29 34 38
"16" 4000 22 1 13.6 19.8 12.8 12.5 0.286353467561521 0.537011387725211 0.219597073997658 -0.15 -0.011858263308658 -0.000298058603009331 -0.023716526617316 2 29 34 38
"17" 4000 23 1 7.9 20.4 15.5 16.6 0.391414141414141 0.484843740839676 0.19223802526798 0.550000000000001 0.0342813357186483 0.0013866204574782 0.0685626714372967 2 29 34 38
"18" 4000 24 1 5.1 20.6 24.1 25.9 0.469785575048733 0.228095219265348 0.151831609134663 0.899999999999999 0.0360155641044414 0.00353429173528852 0.0720311282088827 2 29 34 38
"19" 4000 25 1 5.1 20.8 20.9 22.6 0.464444444444444 0.907551670251533 0.163588369928628 0.850000000000001 0.0391003736537375 0.00290400970916207 0.078200747307475 2 29 34 38
"20" 4000 26 1 2.1 21.4 16.1 17.4 0.400497512437811 0.455656839574911 0.172282851320148 0.649999999999999 0.0388254671150329 0.00171020450079794 0.0776509342300659 2 29 34 38
"21" 4000 27 1 16.2 22.6 31.9 33.3 0.51869918699187 0.203631127109668 0.142811748597616 0.699999999999999 0.0214756935977996 0.00358455721774594 0.0429513871955991 2 29 34 38
"22" 4000 28 1 12.2 22.6 19.3 20.8 0.376953125 0.42854401315937 0.178298650644504 0.75 0.0374239453982162 0.00236208497641783 0.0748478907964325 2 29 34 38
"23" 4000 29 1 8.6 24 13.9 14.2 0.365789473684211 0.401433103563862 0.205312781556753 0.149999999999999 0.0106765622352844 0.000331045325872021 0.0213531244705687 2 29 34 38
"24" 4000 30 1 5.5 25.8 21.9 23.6 0.476086956521739 0.310277009811806 0.157825751086294 0.850000000000001 0.0373800376045547 0.00303752739693964 0.0747600752091095 2 29 34 38
"25" 4000 31 1 4.9 26 15.8 16 0.395989974937343 0.35942042237312 0.184745170721398 0.0999999999999996 0.00628939110342998 0.000249756615960389 0.0125787822068601 2 29 34 38
"26" 4000 32 1 13.4 28.3 26.4 27.8 0.471428571428571 0.323217644654377 0.153233269377209 0.700000000000001 0.0258360052721605 0.00297980063192993 0.051672010544321 2 29 34 38
"27" 4000 33 1 10.6 28.5 18.1 18.3 0.379454926624738 0.359091167850707 0.179931651445511 0.0999999999999996 0.00549456078779758 0.000285884931476669 0.0109891215755951 2 29 34 38
"28" 4000 34 1 2.7 28.9 14.9 14.9 0.353919239904988 0.624030701208392 0.178525838310683 0 0 0 0 2 29 34 38
"29" 4000 35 1 0.1 28.3 13.5 13.5 0.331695331695332 0.585237420281844 0.177831332320896 0 0 0 0 2 29 34 38
"30" 4000 36 1 1.5 30.3 27.2 29.2 0.537549407114625 0.242305122056609 0.126659866699051 1 0.0354758679861422 0.0044296456415616 0.0709517359722844 2 29 34 38
"31" 4000 37 1 9.8 31.3 11.2 11.1 0.323699421965318 0.504341677883142 0.22238750840361 -0.0499999999999998 -0.00448433499138019 -8.75718952188147e-05 -0.00896866998276033 2 29 34 38
"32" 4000 38 1 14.8 31.5 22 23.4 0.426356589147287 0.551875668293139 0.168458075978197 0.699999999999999 0.0308467845026699 0.00249599536327709 0.0616935690053398 2 29 34 38
"33" 4000 39 1 14.2 33.1 29.6 31.8 0.558490566037736 0.230398201945977 0.140922429369191 1.1 0.0358459642280582 0.00530457919558636 0.0716919284561163 2 29 34 38
"35" 4000 41 1 7.3 33.9 23.4 25.4 0.462450592885376 0.281653817091443 0.161687840950165 1 0.0410065758304175 0.00383274303737955 0.0820131516608353 2 29 34 38
"36" 4000 42 1 6.3 34.7 13.7 13.9 0.369272237196766 0.692542503558475 0.187645667542932 0.100000000000001 0.00724650365128341 0.0002167698930977 0.0144930073025672 2 29 34 38
"37" 4000 43 1 3.1 34.7 20.1 22.3 0.462068965517241 0.349128214224764 0.156188899936369 1.1 0.0519334317005215 0.0036630970340857 0.103866863401043 2 29 34 38
"38" 4000 44 1 14.8 35.3 24.6 25.8 0.453874538745387 0.465171932925725 0.133442463437913 0.6 0.0238140244946273 0.00237504404611388 0.0476280489892545 2 29 34 38
"39" 4000 45 1 13 36.3 15 15.4 0.336322869955157 0.501851353314932 0.188602881997467 0.2 0.0131586541586867 0.000477522083345649 0.0263173083173735 2 29 34 38
"40" 4000 46 1 2.9 37.1 14 14.6 0.374331550802139 0.375071606632557 0.189469435765429 0.3 0.0209820995495161 0.000673871624195009 0.0419641990990321 2 29 34 38
"41" 4000 47 1 28.3 37.7 14.4 14.3 0.328767123287671 0.362278097726802 0.166220313527433 -0.0499999999999998 -0.00348433465804666 -0.000112704636447533 -0.0069686693160933 2 29 34 38
"42" 4000 48 1 30.9 37.7 17.8 19.5 0.377118644067797 0.282732639180242 0.169249509167203 0.85 0.0456080041358308 0.00249010487705161 0.0912160082716617 2 29 34 38
"43" 4000 49 1 26.5 37.3 26.2 27.7 0.471223021582734 0.307488384907622 0.130662067190664 0.75 0.0278365012131208 0.00317497207553417 0.0556730024262414 2 29 34 38
"44" 4000 50 1 21.2 36.1 29.4 31.5 0.498305084745763 0.249053267579547 0.139169595598701 1.05 0.0344964357434757 0.00502222855584499 0.0689928714869516 2 29 34 38
"45" 4000 51 1 27.5 36.1 27.2 28.7 0.480565371024735 0.281916022245306 0.149271666139379 0.75 0.0268400747318119 0.00329278180004379 0.0536801494636236 2 29 34 38
"46" 4000 52 1 27.1 35.1 20.7 21 0.413173652694611 0.33093836084574 0.162507904958606 0.15 0.00719436872604984 0.000491266551205103 0.0143887374520995 2 29 34 38
"47" 4000 53 1 18 34.5 10.9 11.1 0.270471464019851 0.575091986570194 0.231135468505663 0.0999999999999996 0.00909115954159516 0.000172787595947439 0.0181823190831904 2 29 34 38
"48" 4000 54 1 19 34.1 13 13 0.306603773584906 0.570586162775805 0.22356534444539 0 0 0 0 2 29 34 38
"49" 4000 55 1 19 33.5 23.4 24.7 0.443181818181818 0.401043463314061 0.169626848116944 0.65 0.0270336106351379 0.00245554735786213 0.0540672212702759 2 29 34 38
"50" 4000 56 1 20.8 33.3 15.5 15.7 0.345211581291759 0.533793513405073 0.213820581615148 0.0999999999999996 0.00641034421453073 0.000245044226980004 0.0128206884290614 2 29 34 38
"51" 4000 57 1 25.2 32.7 26.4 27.2 0.473118279569892 0.311194400293124 0.16543723903376 0.4 0.0149264815748406 0.00168389366232413 0.0298529631496811 2 29 34 38
"52" 4000 58 1 21.6 32.5 10.6 11 0.265 0.580020876858201 0.247854656811569 0.2 0.0185206358401745 0.000339292006587698 0.0370412716803491 2 29 34 38
"53" 4000 59 1 18.6 31.7 25.1 26.9 0.458866544789762 0.339446295422544 0.17214357905801 0.899999999999999 0.0346292202350276 0.00367566340470005 0.0692584404700551 2 29 34 38
"54" 4000 60 1 19 31.7 21.8 23 0.42578125 0.352741728351314 0.183460523375049 0.6 0.0267921230670531 0.00211115026321234 0.0535842461341064 2 29 34 38
"55" 4000 61 1 20.4 31.3 23.9 25.1 0.448405253283302 0.338552389815505 0.176145423233093 0.600000000000001 0.0244946936001367 0.0023090706003885 0.0489893872002733 2 29 34 38
"56" 4000 62 1 22 31.3 17.4 17.9 0.371794871794872 0.39678039928951 0.212480547025861 0.25 0.014165253313113 0.000693113879198249 0.0283305066262261 2 29 34 38
"57" 4000 63 1 26.3 31.3 27.1 28 0.479646017699115 0.268868570249766 0.167060554688784 0.449999999999999 0.0163353911447743 0.00194739474614397 0.0326707822895488 2 29 34 38
"58" 4000 64 1 21.4 30.9 12.4 12.9 0.296650717703349 0.455894105881862 0.227062041005972 0.25 0.0197654193783176 0.000496764338348886 0.0395308387566353 2 29 34 38
"59" 4000 65 1 20 30.7 13.6 13.8 0.316279069767442 0.423319609165841 0.237126925009584 0.100000000000001 0.00729939971057643 0.0002151990967709 0.0145987994211527 2 29 34 38
"60" 4000 66 1 27.5 29.7 17.8 19.1 0.384449244060475 0.301205687160362 0.205390519397749 0.65 0.0352449388772724 0.00188377749490878 0.0704898777545447 2 29 34 38
"61" 4000 67 1 23 28.5 22.4 23.4 0.432432432432432 0.281013783467985 0.164079003422617 0.5 0.0218375317513308 0.00179856179418016 0.0436750635026615 2 29 34 38
"62" 4000 68 1 29.1 27.4 23.4 25 0.450867052023121 0.317744964512764 0.176025604626284 0.800000000000001 0.0330699012522725 0.00304106168867492 0.0661398025045451 2 29 34 38
"63" 4000 69 1 20.4 26.8 12.5 NA 0.281531531531532 0.445135900416128 0.218656501112559 NA NA NA NA 2 29 34 38
"64" 4000 70 1 21.6 26.6 24.1 24.4 0.430357142857143 0.302760799378879 0.176609795139422 0.149999999999999 0.00618564590127341 0.00057137716387164 0.0123712918025468 2 29 34 38
"65" 4000 71 1 29.1 26.6 11.4 12.1 0.285714285714286 0.478835508965737 0.264095865196206 0.35 0.0297960486011228 0.000645989989394401 0.0595920972022457 2 29 34 38
"66" 4000 72 1 18.6 26.4 14.6 14.2 0.313978494623656 0.467692571327098 0.201600963884717 -0.2 -0.0138897820535379 -0.000452389342116931 -0.0277795641070758 2 29 34 38
"67" 4000 73 1 21.2 25.8 12.2 12.3 0.276643990929705 0.450693522508412 0.244972241567363 0.0500000000000007 0.00408165531958053 9.62112750161892e-05 0.00816331063916113 2 29 34 38
"68" 4000 74 1 22.2 25.6 23.6 25.5 0.425225225225225 0.306203964747434 0.178284111016338 0.949999999999999 0.038715870066408 0.00366348973316739 0.077431740132816 2 29 34 38
